1.043,0.58,1.067,1.55,0.872,139.6,73.14,5.67,7.434,1.798,219.855,24.8,0,895.8,1246,2815.7,2061,76.395,235,5.018,7.3
1.005,0.58,1.177,1.55,0.859,139.6,73.15,5.761,7.434,1.733,248.67,46.71,0,858.9,1246,3292.5,2061,42.45,235,6.665,7.3
0.98,0.58,1.254,1.55,0.85,139.6,73.15,5.945,7.434,1.69,255.5,45.42,0,799.9,1246,3121,2061,40.3,235,7.18,7.3
0.955,0.58,1.331,1.55,0.841,139.6,73.16,6.129,7.434,1.647,262.33,44.13,0,740.8,1246,2949.5,2061,38.15,235,7.695,7.3
0.93,0.58,1.408,1.55,0.832,139.5,73.16,6.313,7.434,1.603,269.16,42.84,0,681.8,1246,2778,2061,36,235,8.21,7.3
0.905,0.58,1.485,1.55,0.823,139.5,73.17,6.497,7.434,1.56,275.99,41.55,0,622.7,1246,2606.5,2061,33.85,235,8.725,7.3
1.083,0.58,1.048,1.55,0.887,139.7,73.13,5.618,7.434,1.866,223.892,21.05,0,868.7,1246,2735.3,2061,58.67,235,4.922,7.3
1.079,0.58,1.051,1.55,0.885,139.7,73.13,5.608,7.434,1.859,224.092,20.95,0,869.9,1246,2740.9,2061,59.1,235,4.984,7.3
1.075,0.58,1.054,1.55,0.884,139.7,73.13,5.597,7.434,1.853,224.292,20.85,0,871.3,1246,2746.5,2061,59.53,235,5.046,7.3
1.071,0.58,1.057,1.55,0.882,139.7,73.13,5.587,7.434,1.846,224.492,20.75,0,872.6,1246,2752.1,2061,59.96,235,5.108,7.3
1.069,0.58,1.251,1.55,0.882,139.7,73.13,5.989,7.434,1.843,230.512,55.82,0,912.7,1246,2995.4,2061,60.62,235,6.669,7.3
1.08,0.58,1.051,1.55,0.885,139.7,73.13,5.616,7.434,1.861,224.918,22.59,0,871.5,1246,2776.9,2061,57.866,235,4.992,7.3
1.075,0.58,1.055,1.55,0.884,139.7,73.13,5.612,7.434,1.853,226.456,24.9,0,875.7,1246,2839.4,2061,56.66,235,5.097,7.3
